date,symbol,dps_local,source_currency,dps_krw
2020-06-29,100840.KQ,133.33333,KRW,133.33333
2020-07-06,WFG,0.148,USD,177.378
2020-07-31,SXT,0.39,USD,463.9284228515625
2020-08-13,LLY,0.74,USD,875.235
2020-08-27,GLW,0.22,USD,260.4469946289062
2020-08-28,EAF,0.1,USD,118.65799560546876
2020-09-03,BAC,0.18,USD,213.95700439453125
2020-09-08,STNG,0.1,USD,118.681005859375
2020-09-17,TSM,0.427,USD,500.47386706542966
2020-09-28,005490.KQ,1500.0,KRW,1500.0
2020-09-29,4680.T,3.333333,JPY,36.87471338914776
2020-09-29,6857.T,9.5,JPY,105.09294366836548
2020-09-29,WFG,0.15,USD,174.9615051269531
2020-10-30,SXT,0.39,USD,440.5128076171875
2020-11-03,GTT.PA,2.5,EUR,3294.1751098632812
2020-11-12,GLW,0.22,USD,244.5189892578125
2020-11-12,LLY,0.74,USD,822.4729638671874
2020-11-20,STNG,0.1,USD,111.41400146484375
2020-11-23,TS,0.14,USD,155.93619384765626
2020-11-27,EAF,0.1,USD,110.556005859375
2020-12-01,VRT,0.01,USD,11.08510009765625
2020-12-03,BAC,0.18,USD,197.88840087890625
2020-12-17,TSM,0.442,USD,482.50931079101565
2020-12-24,WFG,0.156,USD,172.3488076171875
2020-12-29,000150.KS,2000.0,KRW,2000.0
2020-12-29,000210.KQ,2929.8152,KRW,2929.8152
2020-12-29,000640.KS,942.5959,KRW,942.5959
2020-12-29,000660.KS,1170.0,KRW,1170.0
2020-12-29,001040.KS,2000.0,KRW,2000.0
2020-12-29,001060.KS,291.58926,KRW,291.58926
2020-12-29,001120.KS,400.0,KRW,400.0
2020-12-29,001530.KS,123.25862,KRW,123.25862
2020-12-29,003030.KQ,1500.0,KRW,1500.0
2020-12-29,004020.KS,500.0,KRW,500.0
2020-12-29,004250.KS,100.0,KRW,100.0
2020-12-29,005290.KS,100.0,KRW,100.0
2020-12-29,005380.KS,3000.0,KRW,3000.0
2020-12-29,005490.KQ,4500.0,KRW,4500.0
2020-12-29,005720.KS,85.0,KRW,85.0
2020-12-29,005850.KS,500.0,KRW,500.0
2020-12-29,006060.KS,188.0,KRW,188.0
2020-12-29,006260.KS,1450.0,KRW,1450.0
2020-12-29,006650.KQ,3000.0,KRW,3000.0
2020-12-29,007210.KS,7.0,KRW,7.0
2020-12-29,007690.KS,899.898,KRW,899.898
2020-12-29,008730.KS,500.0,KRW,500.0
2020-12-29,009970.KQ,1200.0,KRW,1200.0
2020-12-29,012330.KS,4000.0,KRW,4000.0
2020-12-29,012450.KS,657.67773,KRW,657.67773
2020-12-29,015760.KS,1216.0,KRW,1216.0
2020-12-29,016380.KS,100.0,KRW,100.0
2020-12-29,017650.KS,75.0,KRW,75.0
2020-12-29,017960.KS,180.0,KRW,180.0
2020-12-29,023160.KS,50.0,KRW,50.0
2020-12-29,029460.KS,300.0,KRW,300.0
2020-12-29,032640.KQ,450.0,KRW,450.0
2020-12-29,033500.KQ,350.0,KRW,350.0
2020-12-29,035900.KQ,154.0,KRW,154.0
2020-12-29,036570.KQ,8550.0,KRW,8550.0
2020-12-29,041830.KS,140.0,KRW,140.0
2020-12-29,043650.KS,160.0,KRW,160.0
2020-12-29,047810.KQ,200.0,KRW,200.0
2020-12-29,049720.KQ,275.0,KRW,275.0
2020-12-29,052690.KS,282.0,KRW,282.0
2020-12-29,054210.KQ,50.0,KRW,50.0
2020-12-29,067160.KQ,650.0,KRW,650.0
2020-12-29,075580.KQ,150.0,KRW,150.0
2020-12-29,075580.KS,150.0,KRW,150.0
2020-12-29,082920.KS,60.0,KRW,60.0
2020-12-29,089600.KQ,800.0,KRW,800.0
2020-12-29,090460.KS,250.0,KRW,250.0
2020-12-29,098120.KS,25.0,KRW,25.0
2020-12-29,100840.KQ,133.33333,KRW,133.33333
2020-12-29,101160.KS,70.0,KRW,70.0
2020-12-29,101490.KS,80.0,KRW,80.0
2020-12-29,103140.KS,600.0,KRW,600.0
2020-12-29,112610.KS,500.0,KRW,500.0
2020-12-29,119610.KQ,285.5511,KRW,285.5511
2020-12-29,119850.KS,50.0,KRW,50.0
2020-12-29,131970.KQ,130.0,KRW,130.0
2020-12-29,148150.KS,33.333332,KRW,33.333332
2020-12-29,166090.KS,300.0,KRW,300.0
2020-12-29,170790.KQ,150.0,KRW,150.0
2020-12-29,189300.KS,92.13815,KRW,92.13815
2020-12-29,192400.KS,660.0,KRW,660.0
2020-12-29,200710.KS,70.0,KRW,70.0
2020-12-29,210980.KQ,779.59937,KRW,779.59937
2020-12-29,2124.T,20.0,JPY,211.02678298950195
2020-12-29,214450.KS,500.0,KRW,500.0
2020-12-29,215000.KS,2500.0,KRW,2500.0
2020-12-29,218410.KQ,100.0,KRW,100.0
2020-12-29,271560.KQ,750.0,KRW,750.0
2020-12-29,280360.KS,1600.0,KRW,1600.0
2020-12-29,285490.KQ,300.0,KRW,300.0
2020-12-29,294870.KQ,600.0,KRW,600.0
2020-12-29,298020.KS,5000.0,KRW,5000.0
2020-12-29,306200.KS,2500.0,KRW,2500.0
2020-12-29,316140.KS,360.0,KRW,360.0
2020-12-29,322000.KS,200.0,KRW,200.0
2020-12-29,344820.KS,2100.0,KRW,2100.0
2020-12-29,353810.KQ,75.0,KRW,75.0
2021-02-01,SXT,0.39,USD,435.79772094726565
2021-02-09,LEVI,0.04,USD,44.6531982421875
2021-02-11,LLY,0.85,USD,938.3829833984374
2021-02-25,EAF,0.1,USD,110.72099609375
2021-02-25,GLW,0.24,USD,265.730390625
2021-03-01,STNG,0.1,USD,112.33699951171876
2021-03-04,BAC,0.18,USD,203.31
2021-03-17,TSM,0.448,USD,506.1683046875
2021-03-17,WFG,0.161,USD,181.90423449707032
2021-03-30,005490.KQ,3000.0,KRW,3000.0
2021-03-30,4680.T,3.333333,JPY,34.347502134707455
2021-03-30,4689.T,5.56,JPY,57.29163928985595
2021-03-30,6857.T,20.0,JPY,206.08503341674805
2021-04-30,SXT,0.39,USD,431.5857019042969
2021-05-04,BESI.AS,1.7,EUR,2294.3199584960935
2021-05-06,LEVI,0.06,USD,67.43939941406249
2021-05-10,LONN.SW,3.0,CHF,3704.467529296875
2021-05-13,LLY,0.85,USD,961.8599792480469
2021-05-20,STNG,0.1,USD,113.03699951171876
2021-05-24,TS,0.28,USD,315.50121093750005
2021-05-27,EAF,0.1,USD,111.552001953125
2021-05-27,GLW,0.24,USD,267.7248046875
2021-05-27,SBLK,0.3,USD,334.656005859375
2021-06-01,GTT.PA,1.79,EUR,2423.1049951171876
2021-06-03,002714.SZ,1.043571,CNY,225.44681384710694
2021-06-03,BAC,0.18,USD,199.77840087890624
2021-06-10,1211.HK,0.05996,HKD,8.625660823364258
2021-06-17,TSM,0.451,USD,510.50942797851565
2021-06-18,002340.SZ,0.015,CNY,3.2405099487304687
2021-06-18,WFG,0.202,USD,228.97508789062502
2021-06-29,005380.KS,1000.0,KRW,1000.0
2021-06-29,005490.KQ,4000.0,KRW,4000.0
2021-06-29,010950.KS,1000.0,KRW,1000.0
2021-06-29,012330.KS,1000.0,KRW,1000.0
2021-06-29,032640.KQ,200.0,KRW,200.0
