rank,strategy_id,family,hit_basis,goal_hit,robust_goal_hit,annualized_sharpe,annualized_sortino_lpm0,annualized_sortino_downside_std,cagr,total_return,max_drawdown,ann_vol,days,split_2021_2023_sharpe,split_2021_2023_sortino_lpm0,split_2021_2023_sortino_downside_std,split_2024_2026_sharpe,split_2024_2026_sortino_lpm0,split_2024_2026_sortino_downside_std,params_summary
12,all_weather_mom_vol0.12_lb504,persona_momentum_volcap,Sortino(LPM0),True,False,1.6945267642256503,2.578840026816486,1.845894024575409,0.176294939119914,1.463071385077007,-0.11708891363272111,0.09872366614362968,1399.0,0.9574322640138567,1.4847673627042457,0.9359197623535234,2.320946129042664,3.505587489815066,3.100079264863216,"family=persona_momentum_volcap, persona=all_weather, lookback=504, filter=equity_momentum_positive, vol_target=0.12, max_leverage=1.0"
13,all_weather_mom_vol0.08_lb504,persona_momentum_volcap,Sortino(LPM0),True,False,1.6896284864498472,2.5689702191280706,1.8383656540007052,0.11555398556388141,0.8350511252644397,-0.08038150852148696,0.0660220043159262,1399.0,0.9574322640138571,1.4847673627042464,0.9359197623535235,2.312971311114189,3.4898812329120243,3.0869762600676207,"family=persona_momentum_volcap, persona=all_weather, lookback=504, filter=equity_momentum_positive, vol_target=0.08, max_leverage=1.0"
14,all_weather_mom_vol0.1_lb504,persona_momentum_volcap,Sortino(LPM0),True,False,1.6896284864498476,2.5689702191280706,1.8383656540007052,0.14568395452369076,1.1276665431891209,-0.09980588894009279,0.08252750539490773,1399.0,0.9574322640138573,1.4847673627042464,0.9359197623535236,2.312971311114189,3.489881232912025,3.086976260067621,"family=persona_momentum_volcap, persona=all_weather, lookback=504, filter=equity_momentum_positive, vol_target=0.1, max_leverage=1.0"
15,all_weather_mom_vol0.06_lb504,persona_momentum_volcap,Sortino(LPM0),True,False,1.6896284864498474,2.56897021912807,1.8383656540007047,0.0859180956876211,0.5802673260771316,-0.060689374076446034,0.04951650323694464,1399.0,0.9574322640138567,1.4847673627042457,0.9359197623535234,2.3129713111141883,3.4898812329120235,3.0869762600676207,"family=persona_momentum_volcap, persona=all_weather, lookback=504, filter=equity_momentum_positive, vol_target=0.06, max_leverage=1.0"
16,rotate_trail_sharpe_lb189_top3_none,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.6719799499783552,2.565247785135293,2.0935755504221505,0.5780899517786824,11.587681121130771,-0.2044259844015478,0.30001306534161704,1399.0,1.3950380964297238,2.1787487304409168,1.7801503418863722,2.001570760441716,3.011787912855264,2.4620975380334937,"family=persona_rotation, lookback=189, top_k=3, score=trail_sharpe, gate=none"
17,rotate_trail_sharpe_lb189_top3_score_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.6719799499783552,2.565247785135293,2.0935755504221505,0.5780899517786824,11.587681121130771,-0.2044259844015478,0.30001306534161704,1399.0,1.3950380964297238,2.1787487304409168,1.7801503418863722,2.001570760441716,3.011787912855264,2.4620975380334937,"family=persona_rotation, lookback=189, top_k=3, score=trail_sharpe, gate=score_pos"
18,rotate_trail_sharpe_lb189_top3_mom_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.6719799499783552,2.565247785135293,2.0935755504221505,0.5780899517786824,11.587681121130771,-0.2044259844015478,0.30001306534161704,1399.0,1.3950380964297238,2.1787487304409168,1.7801503418863722,2.001570760441716,3.011787912855264,2.4620975380334937,"family=persona_rotation, lookback=189, top_k=3, score=trail_sharpe, gate=mom_pos"
19,rotate_trail_sharpe_lb189_top3_both_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.6719799499783552,2.565247785135293,2.0935755504221505,0.5780899517786824,11.587681121130771,-0.2044259844015478,0.30001306534161704,1399.0,1.3950380964297238,2.1787487304409168,1.7801503418863722,2.001570760441716,3.011787912855264,2.4620975380334937,"family=persona_rotation, lookback=189, top_k=3, score=trail_sharpe, gate=both_pos"
20,rotate_rank_sharpe_mom_lb189_top1_none,persona_rotation,Sortino(LPM0),True,False,1.6326795059289831,2.5314144368886433,1.9918127743170024,0.7280678692353737,19.837206428373644,-0.3161495880300461,0.37950976006388876,1399.0,1.3383452338614068,2.1069651379099463,1.7174857968468615,1.9925210401509756,3.034524690588402,2.2920739816198936,"family=persona_rotation, lookback=189, top_k=1, score=rank_sharpe_mom, gate=none"
21,rotate_rank_sharpe_mom_lb189_top1_score_pos,persona_rotation,Sortino(LPM0),True,False,1.6326795059289831,2.5314144368886433,1.9918127743170024,0.7280678692353737,19.837206428373644,-0.3161495880300461,0.37950976006388876,1399.0,1.3383452338614068,2.1069651379099463,1.7174857968468615,1.9925210401509756,3.034524690588402,2.2920739816198936,"family=persona_rotation, lookback=189, top_k=1, score=rank_sharpe_mom, gate=score_pos"
22,rotate_rank_sharpe_mom_lb189_top1_mom_pos,persona_rotation,Sortino(LPM0),True,False,1.6326795059289831,2.5314144368886433,1.9918127743170024,0.7280678692353737,19.837206428373644,-0.3161495880300461,0.37950976006388876,1399.0,1.3383452338614068,2.1069651379099463,1.7174857968468615,1.9925210401509756,3.034524690588402,2.2920739816198936,"family=persona_rotation, lookback=189, top_k=1, score=rank_sharpe_mom, gate=mom_pos"
23,rotate_rank_sharpe_mom_lb189_top1_both_pos,persona_rotation,Sortino(LPM0),True,False,1.6326795059289831,2.5314144368886433,1.9918127743170024,0.7280678692353737,19.837206428373644,-0.3161495880300461,0.37950976006388876,1399.0,1.3383452338614068,2.1069651379099463,1.7174857968468615,1.9925210401509756,3.034524690588402,2.2920739816198936,"family=persona_rotation, lookback=189, top_k=1, score=rank_sharpe_mom, gate=both_pos"
