account_id,label,kind,final_equity_krw,final_cash_krw,final_holdings_value_krw,money_weighted_return,cagr,max_drawdown,trade_count,open_positions,sharpe,sortino
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit25_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45% Cap Profit 25%,account,568604515.6723,4032755.4384,564571760.2339,0.6678,0.3693,0.2489,145.0,5.0,1.1074,1.6474
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit40_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45% Cap Profit 40%,account,568816645.5945,4008835.3606,564807810.2339,0.6679,0.3694,0.2489,145.0,5.0,1.1078,1.6481
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45% Cap Profit 60%,account,573851655.013,4052445.6241,569799209.3889,0.6716,0.3717,0.2489,145.0,5.0,1.1104,1.6572
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_candidate_top5,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Candidate Score,account,608188390.4941,4017758.7949,604170631.6992,0.6958,0.3865,0.2499,144.0,5.0,1.1454,1.7362
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_candidate_top3,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Candidate Score Top 3,account,467428197.162,31645297.162,435782900.0,0.5871,0.3206,0.2619,103.0,3.0,0.921,1.4138
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_candidate_top7,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Candidate Score Top 7,account,414111982.7756,4046052.5914,410065930.1842,0.5381,0.2913,0.2741,188.0,6.0,0.9634,1.4165
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_candidate_slip25_top5,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Candidate Score Slip 25,account,585580657.1251,4056847.8394,581523809.2857,0.68,0.3768,0.2522,142.0,5.0,1.1257,1.7061
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_candidate_slip50_top5,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Candidate Score Slip 50,account,566128987.7126,4058503.2721,562070484.4405,0.6659,0.3682,0.2552,144.0,5.0,1.1073,1.6775
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_candidate_midcontrib_top5,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Candidate Score Mid-Month Contribution,account,596889479.0394,6030573.0304,590858906.009,0.6943,0.3817,0.2603,143.0,5.0,1.1369,1.7195
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_candidate_lastcontrib_top5,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Candidate Score Month-End Contribution,account,596938937.4727,6037881.4637,590901056.009,0.7003,0.3817,0.2462,143.0,5.0,1.1285,1.7165
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_momentum_top5,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Momentum Score,account,408586710.4784,4097863.2601,404488847.2183,0.5326,0.2881,0.3379,146.0,5.0,0.9067,1.3267
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_midcontrib_top5,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Mid-Month Contribution,account,562168612.4444,6059948.9338,556108663.5106,0.6691,0.3665,0.2604,142.0,5.0,1.1003,1.6383
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_lastcontrib_top5,PIT Trend Quarterly Fresh 540 Run Winners Profit 60% Month-End Contribution,account,560753142.9684,6025605.2512,554727537.7172,0.6739,0.3658,0.2463,144.0,5.0,1.091,1.6338
pit_trend_quarterly_fresh540_runwinners_dailycap45_profit25_top5,PIT Trend Quarterly Fresh 540 Run Winners Daily 45% Cap Profit 25%,account,565523696.6011,4057833.9355,561465862.6656,0.6655,0.368,0.2489,146.0,5.0,1.1046,1.6415
pit_trend_quarterly_fresh540_confirm5_top5,PIT Trend Quarterly Fresh 540 Confirm Top 5,account,366262897.8369,4117900.6102,362144997.2266,0.4888,0.2623,0.3779,34.0,2.0,0.7466,0.9543
pit_trend_quarterly_fresh540_confirm10_top5,PIT Trend Quarterly Fresh 540 Confirm Top 10,account,306205287.8555,5006090.6985,301199197.1571,0.4179,0.2212,0.3739,54.0,3.0,0.6956,0.9103
pit_trend_quarterly_fresh540_confirm10_vol50_top5,PIT Trend Quarterly Fresh 540 Confirm Top 10 50% Vol Cap,account,294940606.8667,43618963.0057,251321643.8609,0.4032,0.2127,0.3322,54.0,3.0,0.698,0.9283
pit_trend_persist20_kodex50_top5,PIT Trend Persist KODEX 50MA Gate,account,286524470.3653,100210.3653,286424260.0,0.3918,0.2062,0.2176,259.0,5.0,0.8546,0.9328
pit_trend_persist20_kodex200_top5,PIT Trend Persist KODEX 200MA Gate,account,381611139.8288,1542159.8288,380068980.0,0.5052,0.2719,0.2869,234.0,5.0,1.0383,1.104
benchmark_kodex200,KODEX 200 (069500.KS),benchmark,372982177.0119,123562.0119,372858615.0,0.4961,0.2666,0.199,66.0,1.0,1.0907,1.4253
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_redeploycash125_partial75_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 20 Redeploy Cash 12.5 Partial 75,account,635343417.9679,4018764.7001,631324653.2677,0.7142,0.3977,0.2499,153.0,5.0,1.1724,1.7767
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_redeploycash125_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 20 Redeploy Cash 12.5,account,633834739.6929,4020962.2186,629813777.4743,0.7132,0.3971,0.2499,153.0,5.0,1.1699,1.7724
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_redeploycash15_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 20 Redeploy Cash 15,account,633834739.6929,4020962.2186,629813777.4743,0.7132,0.3971,0.2499,153.0,5.0,1.1699,1.7724
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim120dd25cap20_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim Profit 120 Drawdown 25 Cap 20,account,618851727.4797,4012147.4704,614839580.0093,0.7031,0.391,0.2499,147.0,5.0,1.1591,1.7584
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim150dd25cap20_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim Profit 150 Drawdown 25 Cap 20,account,618851727.4797,4012147.4704,614839580.0093,0.7031,0.391,0.2499,147.0,5.0,1.1591,1.7584
