date,account_id,decision,buy_count,sell_count,trade_count,symbols,reasons,cash_krw,holdings_value_krw,equity_krw,contributed_capital_krw,net_profit_krw,open_positions
2021-10-15,benchmark_spy,hold,0,0,0,,,493512.8026,22664280.8787,23157793.6814,19000000.0,4157793.6814,1
2021-10-15,smic_follower,hold,0,0,0,,,2582.9598,22460819.5066,22463402.4664,19000000.0,3463402.4664,15
2021-10-15,smic_follower_v2,hold,0,0,0,,,9542.8542,20317897.1349,20327439.9891,19000000.0,1327439.9891,12
2021-10-18,all_weather,hold,0,0,0,,,961582.7652,19737172.8614,20698755.6266,19000000.0,1698755.6266,4
2021-10-18,benchmark_gld,hold,0,0,0,,,144474.4643,18905378.6746,19049853.1389,19000000.0,49853.1389,1
2021-10-18,benchmark_kodex200,hold,0,0,0,,,33708.3258,18036405.0,18070113.3258,19000000.0,-929886.6742,1
2021-10-18,benchmark_qqq,hold,0,0,0,,,332975.573,22900490.6439,23233466.2169,19000000.0,4233466.2169,1
2021-10-18,benchmark_spy,hold,0,0,0,,,493614.14,22724841.6895,23218455.8295,19000000.0,4218455.8295,1
2021-10-18,smic_follower,hold,0,0,0,,,2583.4902,22658948.7958,22661532.286,19000000.0,3661532.286,15
2021-10-18,smic_follower_v2,hold,0,0,0,,,9544.8137,20414052.9823,20423597.7961,19000000.0,1423597.7961,12
2021-10-19,all_weather,hold,0,0,0,,,961648.5819,19917958.8873,20879607.4692,19000000.0,1879607.4692,4
2021-10-19,benchmark_gld,hold,0,0,0,,,144484.353,19028563.843,19173048.196,19000000.0,173048.196,1
2021-10-19,benchmark_kodex200,hold,0,0,0,,,33710.633,18187875.0,18221585.633,19000000.0,-778414.367,1
2021-10-19,benchmark_qqq,hold,0,0,0,,,332998.3639,23149739.1431,23482737.5071,19000000.0,4482737.5071,1
2021-10-19,benchmark_spy,hold,0,0,0,,,493647.926,22975539.7012,23469187.6272,19000000.0,4469187.6272,1
2021-10-19,smic_follower,hold,0,0,0,,,2583.6671,22992642.983,22995226.65,19000000.0,3995226.65,15
2021-10-19,smic_follower_v2,hold,0,0,0,,,9545.467,20647224.4613,20656769.9283,19000000.0,1656769.9283,12
2021-10-20,all_weather,hold,0,0,0,,,961714.4032,19826845.8658,20788560.269,19000000.0,1788560.269,4
2021-10-20,benchmark_gld,hold,0,0,0,,,144494.2425,19032950.2442,19177444.4867,19000000.0,177444.4867,1
2021-10-20,benchmark_kodex200,hold,0,0,0,,,33712.9403,18107550.0,18141262.9403,19000000.0,-858737.0597,1
2021-10-20,benchmark_qqq,hold,0,0,0,,,333021.1564,22923953.4717,23256974.6281,19000000.0,4256974.6281,1
2021-10-20,benchmark_spy,hold,0,0,0,,,493681.7144,22870660.7696,23364342.484,19000000.0,4364342.484,1
2021-10-20,smic_follower,hold,0,0,0,,,2583.8439,22952943.2085,22955527.0524,19000000.0,3955527.0524,15
2021-10-20,smic_follower_v2,hold,0,0,0,,,9546.1204,20495893.354,20505439.4744,19000000.0,1505439.4744,12
2021-10-21,all_weather,hold,0,0,0,,,961780.229,19842008.1,20803788.3289,19000000.0,1803788.3289,4
2021-10-21,benchmark_gld,hold,0,0,0,,,144504.1326,18998699.0497,19143203.1822,19000000.0,143203.1822,1
2021-10-21,benchmark_kodex200,hold,0,0,0,,,33715.2479,18075420.0,18109135.2479,19000000.0,-890864.7521,1
2021-10-21,benchmark_qqq,hold,0,0,0,,,333043.9505,23043152.262,23376196.2125,19000000.0,4376196.2125,1
2021-10-21,benchmark_spy,hold,0,0,0,,,493715.505,22909637.1067,23403352.6117,19000000.0,4403352.6117,1
