trial_number,train_rank,accepted,admission_status,excess_return_vs_best_benchmark,label,persona_name,min_target_upside_at_pub,max_target_upside_at_pub,target_hit_multiplier,require_mtt,min_price_vs_52w_low,max_pct_below_52w_high,min_ma200_1m_return,max_positions,universe,top_up_cadence,stop_loss_pct,take_profit_pct,report_age_stop_days,source_trial_number,selection_rank,train_money_weighted_return,train_score,train_max_drawdown,train_trade_count,train_open_positions,full_money_weighted_return,full_net_profit_krw,full_final_equity_krw,full_max_drawdown,full_trade_count,full_open_positions
6,366,False,below_benchmark,-0.4424,SMIC MTT Strategy,smic_mtt_strategy,0.7,4.5,0.9,True,0.2,0.2,-0.02,40,overseas,monthly,0.1,1.75,1095,,,-0.0195,-0.1466,0.2201,3,0,-0.0184,-4693913.1623,97306086.8377,0.2201,10,1
49,367,False,below_benchmark,-0.2901,SMIC MTT Strategy,smic_mtt_strategy,0.1,1.5,0.8,True,0.2,0.25,0.02,30,all,monthly,0.15,1.25,180,,,-0.0909,-0.1568,0.1882,81,1,0.1339,42113818.9381,144113818.9381,0.339,157,3
267,368,True,accepted,0.0486,SMIC MTT Strategy,smic_mtt_strategy,0.75,4.75,1.1,True,0.0,0.3,0.05,15,all,monthly,0.15,3.0,365,,,-0.0736,-0.1616,0.2515,20,1,0.4726,240620225.6567,342620225.6567,0.2515,48,1
35,369,False,below_benchmark,-0.3756,SMIC MTT Strategy,smic_mtt_strategy,0.2,1.75,1.1,True,0.0,0.95,0.05,40,overseas,monthly,0.05,0.75,180,,,-0.0346,-0.1633,0.2248,16,0,0.0484,13513830.2969,115513830.2969,0.3155,40,0
235,370,True,accepted,0.1126,SMIC MTT Strategy,smic_mtt_strategy,0.65,4.75,1.1,True,0.0,0.3,0.05,15,all,deposit_only,0.15,3.0,365,,,-0.0756,-0.1636,0.2514,22,1,0.5365,299490369.1487,401490369.1487,0.2514,55,1
100,371,False,below_benchmark,-0.2105,SMIC MTT Strategy,smic_mtt_strategy,0.2,3.25,0.9,True,0.2,0.2,0.05,30,all,deposit_only,0.2,2.75,365,,,-0.0517,-0.1734,0.3477,49,2,0.2134,75040123.9478,177040123.9478,0.3477,112,5
26,372,False,below_benchmark,-0.4781,SMIC MTT Strategy,smic_mtt_strategy,0.35,2.0,1.05,False,0.3,0.8,-0.02,20,overseas,deposit_only,0.2,0.75,365,,,-0.0676,-0.1762,0.3102,55,1,-0.0541,-13176878.4393,88823121.5607,0.4533,139,3
16,373,False,below_benchmark,-0.3873,SMIC MTT Strategy,smic_mtt_strategy,0.65,1.5,1.05,True,0.4,0.1,0.02,15,all,quarterly,0.3,2.25,365,,,-0.0302,-0.1773,0.2777,12,0,0.0366,10077683.0254,112077683.0254,0.4146,42,4
319,374,True,accepted,0.0283,SMIC MTT Strategy,smic_mtt_strategy,0.2,4.5,1.1,True,0.1,0.2,0.05,20,domestic,monthly,0.15,2.5,730,,,-0.1088,-0.1806,0.2052,45,2,0.4523,223712787.1326,325712787.1326,0.255,81,3
345,375,False,duplicate_behavior,0.0283,SMIC MTT Strategy,smic_mtt_strategy,0.2,4.25,1.1,True,0.1,0.2,0.05,20,domestic,monthly,0.15,2.75,730,,,-0.1088,-0.1806,0.2052,45,2,0.4523,223712787.1326,325712787.1326,0.255,81,3
389,376,False,below_benchmark,-0.1736,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.25,1.1,True,0.2,0.15,0.05,20,domestic,monthly,0.15,2.75,730,,,-0.1107,-0.1824,0.205,47,2,0.2504,92767553.8423,194767553.8423,0.2095,76,2
70,377,False,below_benchmark,-0.3748,SMIC MTT Strategy,smic_mtt_strategy,0.45,1.0,1.05,True,0.3,0.3,0.02,40,all,quarterly,0.05,1.75,365,,,-0.0558,-0.1845,0.2248,35,0,0.0491,13742598.1174,115742598.1174,0.3653,85,1
