account_id,symbol,company,qty,avg_cost_krw,last_close_krw,market_value_krw,unrealized_pnl_krw,unrealized_return,holding_days,first_buy_date
pit_trend_stop_top5,108490.KQ,로보티즈,112,402761.6552,402500.0,45080000.0,-29305.381,-0.0006,0,2026-06-01
pit_trend_stop_top5,012330.KS,현대모비스,59,761494.7071,761000.0,44899000.0,-29187.7174,-0.0006,0,2026-06-01
pit_trend_stop_top5,000150.KS,두산,20,2204432.1152,2203000.0,44060000.0,-28642.3045,-0.0006,0,2026-06-01
pit_trend_stop_top7,356860.KQ,티엘비,245,72146.8704,106300.0,26043500.0,8367516.7502,0.4734,61,2026-04-01
pit_trend_stop_top7,187790.KS,나노,4053,6414.167,6410.0,25979730.0,-16888.773,-0.0006,0,2026-06-01
pit_trend_stop_top7,AIXA.DE,Aixtron SE,265,97876.9148,97813.3288,25920532.1224,-16850.2899,-0.0006,0,2026-06-01
pit_trend_stop_top7,012330.KS,현대모비스,34,761494.7071,761000.0,25874000.0,-16820.0406,-0.0006,0,2026-06-01
pit_trend_stop_top7,108490.KQ,로보티즈,64,402761.6552,402500.0,25760000.0,-16745.932,-0.0006,0,2026-06-01
pit_trend_stop_top7,STRL,Sterling Infrastructure Inc,20,1288593.9606,1287756.8221,25755136.4418,-16742.7703,-0.0006,0,2026-06-01
pit_trend_stop_top7,000150.KS,두산,11,2204432.1152,2203000.0,24233000.0,-15753.2675,-0.0006,0,2026-06-01
pit_trend_top5,356860.KQ,티엘비,762,60639.3945,106300.0,81000600.0,34793381.3567,0.753,91,2026-03-02
pit_trend_top5,187790.KS,나노,12616,6414.167,6410.0,80868560.0,-52570.6291,-0.0006,0,2026-06-01
pit_trend_top5,012330.KS,현대모비스,106,761494.7071,761000.0,80666000.0,-52438.9499,-0.0006,0,2026-06-01
pit_trend_top5,108490.KQ,로보티즈,200,402761.6552,402500.0,80500000.0,-52331.0375,-0.0006,0,2026-06-01
pit_trend_top5,000150.KS,두산,36,2204432.1152,2203000.0,79308000.0,-51556.1481,-0.0006,0,2026-06-01
pit_trend_top7,108490.KQ,로보티즈,112,316705.7487,402500.0,45080000.0,9608956.1414,0.2709,31,2026-05-01
pit_trend_top7,356860.KQ,티엘비,424,60639.3945,106300.0,45071200.0,19360096.7129,0.753,91,2026-03-02
pit_trend_top7,187790.KS,나노,7013,6414.167,6410.0,44953330.0,-29223.036,-0.0006,0,2026-06-01
pit_trend_top7,012330.KS,현대모비스,59,761494.7071,761000.0,44899000.0,-29187.7174,-0.0006,0,2026-06-01
pit_trend_top7,AIXA.DE,Aixtron SE,459,97876.9148,97813.3288,44896317.9025,-29185.9739,-0.0006,0,2026-06-01
pit_trend_top7,000150.KS,두산,20,2204432.1152,2203000.0,44060000.0,-28642.3045,-0.0006,0,2026-06-01
pit_trend_top7,STRL,Sterling Infrastructure Inc,34,1288593.9606,1287756.8221,43783731.9511,-28462.7095,-0.0006,0,2026-06-01
smic_follower,2124.T,JAC recruitment Co. Ltd,1406,8600.3401,8176.0323,11495501.3535,-596576.7887,-0.0493,182,2025-12-01
smic_follower,CRWV,Coreweave,38,123371.2825,188555.6513,7165114.7506,2477006.0175,0.5284,178,2025-12-05
smic_follower,FNKO,Funko Inc.,777,5956.4987,8434.4285,6553550.9556,1925351.4462,0.416,553,2024-11-25
smic_follower,122640.KQ,예스티,201,19369.1006,26400.0,5306400.0,1413210.7792,0.363,146,2026-01-06
smic_follower,098120.KQ,마이크로컨텍솔,173,22307.2665,29700.0,5138100.0,1278942.8883,0.3314,210,2025-11-03
smic_follower,CLBT,Cellebrite DI,205,21942.3505,24091.8765,4938834.6875,440652.825,0.098,364,2025-06-02
smic_follower,489790.KS,한화비전,69,55941.415,70800.0,4885200.0,1025242.3682,0.2656,385,2025-05-12
smic_follower,5253.T,Cover Corp,312,18718.1283,15453.0795,4821360.7996,-1018695.2439,-0.1744,553,2024-11-25
smic_follower,ESTA,Establishment Labs Holdings,45,101428.4935,106316.1939,4784228.7255,219946.5176,0.0482,178,2025-12-05
smic_follower,LEVI,Levi Strauss & Co,131,27044.2596,34926.4079,4575359.4393,1032561.428,0.2915,502,2025-01-15
smic_follower,259960.KQ,크래프톤,17,293455.3499,257500.0,4377500.0,-611240.9489,-0.1225,553,2024-11-25
smic_follower,049720.KQ,고려신용정보,452,10426.2203,9500.0,4294000.0,-418651.5867,-0.0888,341,2025-06-25
smic_follower,016380.KS,KG스틸,755,5923.1858,5610.0,4235550.0,-236455.2502,-0.0529,724,2024-06-07
smic_follower,035900.KQ,JYP Ent.,74,68195.6548,56500.0,4181000.0,-865478.4582,-0.1715,539,2024-12-09
smic_follower,082920.KS,비츠로셀,79,56416.3979,52600.0,4155400.0,-301495.434,-0.0676,45,2026-04-17
smic_follower,IMAX,IMAX Corp,68,52250.7925,60933.9755,4143510.3355,590456.4434,0.1662,178,2025-12-05
smic_follower,112610.KS,씨에스윈드,88,42925.614,46750.0,4114000.0,336545.9669,0.0891,577,2024-11-01
smic_follower,067160.KQ,아프리카TV,83,73025.7546,49550.0,4112650.0,-1948487.6343,-0.3215,577,2024-11-01
smic_follower,234300.KQ,에스트래픽,1371,3756.2149,2980.0,4085580.0,-1064190.5622,-0.2066,553,2024-11-25
smic_follower,017960.KS,한국카본,127,31684.3634,32150.0,4083050.0,59135.8534,0.0147,202,2025-11-11
smic_follower,100090.KS,SK오션플랜트,242,21935.2007,16820.0,4070440.0,-1237878.5634,-0.2332,45,2026-04-17
smic_follower,294870.KS,HDC현대산업개발,199,20453.2875,19920.0,3964080.0,-106124.2191,-0.0261,553,2024-11-25
smic_follower,214450.KQ,파마리서치,13,412460.2636,298000.0,3874000.0,-1487983.4269,-0.2775,143,2026-01-09
smic_follower,187790.KS,나노,601,6284.0825,6410.0,3852410.0,75676.4349,0.02,21,2026-05-11
smic_follower,SXT,Sensient Technologies Corp,23,136213.846,167212.1662,3845879.8226,712961.3657,0.2276,124,2026-01-28
smic_follower,DOCS,Doximity,112,54660.0168,33813.4259,3787103.7011,-2334818.1853,-0.3814,362,2025-06-04
smic_follower,IRMD,Iradimed Corporation,27,144171.0023,138251.9435,3732802.4748,-159814.5885,-0.0411,178,2025-12-05
smic_follower,018290.KS,브이티,278,23216.6655,13310.0,3700180.0,-2754053.0098,-0.4267,566,2024-11-12
smic_follower,472850.KQ,폰드그룹,789,5671.696,4215.0,3325635.0,-1149333.1399,-0.2568,320,2025-07-16
smic_follower,310200.KQ,애니플러스,1529,4014.3934,2145.0,3279705.0,-2858302.5731,-0.4657,356,2025-06-10
smic_follower,456160.KQ,지투지바이오,54,83924.8924,56400.0,3045600.0,-1486344.1897,-0.328,202,2025-11-11
smic_follower,TEM,Tempus AI Inc,37,90846.4942,80149.7828,2965541.9628,-395778.323,-0.1177,124,2026-01-28
smic_follower,213420.KS,덕산네오룩스,76,49582.2112,38850.0,2952600.0,-815648.0524,-0.2165,21,2026-05-11
smic_follower,SRAD,Sportradar,123,31274.3613,20442.5101,2514428.7462,-1332317.6937,-0.3463,357,2025-06-09
smic_follower,252990.KQ,샘씨엔에스,64,13018.4575,12950.0,828800.0,-4381.2784,-0.0053,21,2026-05-11
smic_follower_v2,122640.KQ,예스티,832,20000.3851,26400.0,21964800.0,5324479.5713,0.32,166,2025-12-17
smic_follower_v2,SXT,Sensient Technologies Corp,131,137742.1901,167212.1662,21904793.7721,3860566.8652,0.214,143,2026-01-09
smic_follower_v2,CLBT,Cellebrite DI,877,19457.47,24091.8765,21128575.7118,4064374.558,0.2382,362,2025-06-04
smic_follower_v2,ESTA,Establishment Labs Holdings,193,99040.9266,106316.1939,20519025.4226,1404126.5836,0.0735,181,2025-12-02
smic_follower_v2,IMAX,IMAX Corp,304,51988.5266,60933.9755,18523928.5587,2719416.4778,0.1721,146,2026-01-06
smic_follower_v2,IRMD,Iradimed Corporation,116,144409.4826,138251.9435,16037225.4475,-714274.5328,-0.0426,143,2026-01-09
smic_follower_v2,049720.KQ,고려신용정보,1676,10494.5386,9500.0,15922000.0,-1666846.6413,-0.0948,341,2025-06-25
smic_follower_v2,017960.KS,한국카본,417,32344.7539,32150.0,13406550.0,-81212.3609,-0.006,202,2025-11-11
smic_follower_v2,082920.KS,비츠로셀,242,57037.0543,52600.0,12729200.0,-1073767.1345,-0.0778,26,2026-05-06
smic_follower_v2,100090.KS,SK오션플랜트,649,22032.9116,16820.0,10916180.0,-3383179.6173,-0.2366,26,2026-05-06
smic_follower_v2,CAMT,Camtek,7,275258.5633,250962.0943,1756734.6601,-170075.2829,-0.0883,31,2026-05-01
smic_follower_v2,187790.KS,나노,3,6824.4335,6410.0,19230.0,-1243.3005,-0.0607,25,2026-05-07
