매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2021-03-15,50000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-03-13)",서흥,008490,KR,5.0,1,ewha,2021-03-13,69525.0,2021-04-14,53556.25,30,6.47,rr_half_+2.5R
2021-03-11,6210.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-03-10)",팬오션,028670,KR,5.0,1,ewha,2021-03-10,6436.0,2021-04-02,6120.0,22,95.92,rr_stop
2021-03-15,55393.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-03-13, smic 2021-01-16)",한화솔루션,009830,KR,5.0,3,ewha|smic,2021-01-16|2021-03-13,59700.0,2021-03-31,61912.0,16,11.1,rr_half_+2.5R
2021-03-11,6210.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-03-10)",팬오션,028670,KR,5.0,1,ewha,2021-03-10,6436.0,2021-03-23,7240.0,12,15.89,rr_half_+2.5R
2021-03-15,80500.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-03-13)",KT&G,033780,KR,5.0,1,ewha,2021-03-13,110136.0,2021-03-18,82850.0,3,2.3,rr_half_+2.5R
2021-02-22,51500.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-02-20)",HD현대미포,010620,KR,5.0,4,ewha,2021-02-20,69100.0,2021-03-09,56375.0,15,8.81,rr_half_+2.5R
2020-11-23,14082.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2020-11-21, smic 2019-12-24)",한온시스템,018880,KR,5.0,2,ewha|smic,2019-12-24|2020-11-21,15700.0|17200.0,2021-02-25,14826.0,94,109.31,rr_stop
2021-02-22,372000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-02-20, smic 2021-01-16)",대한유화,006650,KR,5.0,2,ewha|smic,2021-01-16|2021-02-20,394500.0|443000.0,2021-02-25,352500.0,3,-5.81,rr_stop
2021-01-18,12600.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-01-16)",파이오링크,170790,KR,5.0,2,smic,2021-01-16,20400.0,2021-02-24,13900.0,37,119.31,rr_stop
2021-02-22,8583.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-02-20, smic 2020-10-10)",APS이노베이션,079810,KR,5.0,2,ewha|smic,2020-10-10|2021-02-20,13600.0|13700.0,2021-02-24,8080.0,2,-6.42,rr_stop
2021-02-22,60400.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-02-20)",엠씨넥스,097520,KR,5.0,2,ewha,2021-02-20,70000.0,2021-02-23,56300.0,1,-7.35,rr_stop
2021-01-18,276500.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-01-16)",대한유화,006650,KR,5.0,2,smic,2021-01-16,394500.0,2021-02-15,369500.0,28,165.67,rr_stop
2021-01-18,12600.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-01-16)",파이오링크,170790,KR,5.0,2,smic,2021-01-16,20400.0,2021-02-15,13800.0,28,8.87,rr_half_+2.5R
2021-01-18,276500.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-01-16)",대한유화,006650,KR,5.0,2,smic,2021-01-16,394500.0,2021-02-02,311187.5,15,11.87,rr_half_+2.5R
2020-11-13,22300.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2020-11-12, smic 2019-11-05)",에코마케팅,230360,KR,5.0,2,smic|voera,2019-11-05|2020-11-12,52500.0|35000.0,2021-02-01,27250.0,80,142.93,rr_stop
2020-12-07,68.56,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2020-12-05)",BILI,BILI,US,5.0,1,smic,2020-12-05,72.95,2021-02-01,120.98,56,261.69,rr_stop
2021-01-18,66621.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-01-16)",한화솔루션,009830,KR,5.0,3,smic,2021-01-16,,2021-02-01,61444.0,14,-8.32,rr_stop
2020-12-07,295.65,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2020-12-05)",ROKU,ROKU,US,5.0,1,smic,2020-12-05,327.62,2021-01-28,409.1,52,181.11,rr_stop
2021-01-18,30650.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-01-16)",하나머티리얼즈,166090,KR,5.0,2,smic,2021-01-16,40400.0,2021-01-28,28300.0,10,-8.22,rr_stop
2021-01-18,37677.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-01-16)",노바텍,285490,KR,5.0,1,smic,2021-01-16,139200.0,2021-01-21,36676.0,3,-3.24,rr_stop
2020-12-07,295.65,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2020-12-05)",ROKU,ROKU,US,5.0,1,smic,2020-12-05,327.62,2020-12-11,331.3371,4,11.67,rr_half_+2.5R
2020-12-07,68.56,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2020-12-05)",BILI,BILI,US,5.0,1,smic,2020-12-05,72.95,2020-12-09,77.9204,2,13.08,rr_half_+2.5R
2020-11-02,10050.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2020-10-31, ewha 2020-10-10)",진성티이씨,036890,KR,5.0,4,ewha|smic,2020-10-10|2020-10-31,14375.0|20350.0,2020-12-04,10550.0,32,108.69,rr_stop
2020-11-23,14082.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2020-11-21, smic 2019-12-24)",한온시스템,018880,KR,5.0,2,ewha|smic,2019-12-24|2020-11-21,15700.0|17200.0,2020-12-01,15586.5,8,10.02,rr_half_+2.5R
2020-11-23,9810.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2020-11-21)",인선이엔티,060150,KR,5.0,2,ewha,2020-11-21,,2020-11-27,9700.0,4,-1.71,rr_stop
2020-11-13,22300.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2020-11-12, smic 2019-11-05)",에코마케팅,230360,KR,5.0,2,smic|voera,2019-11-05|2020-11-12,52500.0|35000.0,2020-11-20,25131.25,7,12.02,rr_half_+2.5R
2020-11-16,164000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2020-11-13)",이마트,139480,KR,5.0,1,voera,2020-11-13,232000.0,2020-11-18,157000.0,2,-4.84,rr_stop
2020-11-02,10050.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2020-10-31, ewha 2020-10-10)",진성티이씨,036890,KR,5.0,4,ewha|smic,2020-10-10|2020-10-31,14375.0|20350.0,2020-11-10,11816.25,8,16.87,rr_half_+2.5R
2020-10-12,16621.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2020-10-10)",동화기업,025900,KR,5.0,1,ewha,2020-10-10,58100.0,2020-10-16,15380.0,4,-8.02,rr_stop
