매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2024-01-25,31444.1055,루닛,328130,KR,5.0,2,kuvic|smic,2023-05-19|2023-09-20,27766.23,2024-04-11,24937.0,77,-21.17,p_chandelier_ATR5.5
2024-01-22,11360.0,화신,010690,KR,5.0,3,ewha|star|voera,2023-03-15|2023-07-24|2023-08-26,17620.0|42900.0|16710.0,2024-04-08,10330.0,77,-9.61,p_chandelier_ATR5.5
2024-01-16,61000.0,에스티팜,237690,KR,5.0,4,ewha|smic|star,2021-12-04|2022-04-27|2023-07-22,185000.0|132700.0|106200.0,2024-04-04,78900.0,79,28.57,p_chandelier_ATR5.5
2023-10-16,10160.0,제주항공,089590,KR,5.0,2,star|voera,2020-05-14|2023-08-06,20000.0|20570.0,2024-02-23,11150.0,130,9.09,p_chandelier_ATR5.5
2024-01-12,42379.578,피엔티,137400,KR,5.0,3,ewha|kuvic|smic,2020-05-09|2023-08-25|2023-09-20,14572.0|94800.0|95500.0,2024-02-01,35800.0,20,-16.03,p_chandelier_ATR5.5
2023-10-23,67000.0,인텔리안테크,189300,KR,5.0,5,ewha|kuvic|smic,2023-10-07|2021-12-04|2023-09-20,113710.0|122000.0|293000.0,2024-01-25,61300.0,94,-9.06,p_chandelier_ATR5.5
2023-10-19,279405.9475,포스코퓨처엠,003670,KR,5.0,2,ewha|star,2021-09-28|2023-07-22,192000.0|650000.0,2024-01-22,269468.0,95,-4.13,p_chandelier_ATR5.5
2023-10-17,303500.0,효성티앤씨,298020,KR,5.0,3,smic|star,2021-05-29|2023-05-03,975000.0|536700.0,2024-01-16,325000.0,91,6.44,p_chandelier_ATR5.5
2023-09-27,20200.0,비에이치,090460,KR,5.0,3,ewha|smic|star,2019-10-24|2023-06-24|2023-07-21,45300.0|39000.0|38900.0,2024-01-16,19110.0,111,-5.96,p_chandelier_ATR5.5
2023-10-30,224000.0,LG이노텍,011070,KR,5.0,1,ewha,2023-07-22,431000.0,2024-01-15,221000.0,77,-1.93,p_chandelier_ATR5.5
2023-09-08,41612.5638,롯데에너지머티리얼즈,020150,KR,5.0,2,ewha|star,2022-04-09|2023-07-05,135500.0|77500.0,2024-01-12,37600.0,126,-10.18,p_chandelier_ATR5.5
2023-10-27,51100.0,피엔티,137400,KR,5.0,3,ewha|kuvic|smic,2020-05-09|2023-08-25|2023-09-20,14572.0|94800.0|95500.0,2024-01-09,48000.0,74,-6.63,p_chandelier_ATR5.5
2023-09-08,54307.0143,씨에스윈드,112610,KR,5.0,6,ewha|kuvic|star|voera|yig,2023-05-27|2021-05-14|2022-05-18|2022-07-21|2022-11-24,103200.0|90900.0|79200.0|66210.0|113000.0,2023-10-30,46700.0,52,-14.52,p_chandelier_ATR5.5
2023-09-13,10804.4281,화신,010690,KR,5.0,3,ewha|star|voera,2023-03-15|2023-07-24|2023-08-26,17620.0|42900.0|16710.0,2023-10-27,10100.0,44,-7.08,p_chandelier_ATR5.5
2023-08-17,23336.4539,레이,228670,KR,5.0,1,smic,2023-05-05,73700.0,2023-10-23,21300.0,67,-9.27,p_chandelier_ATR5.5
2023-08-22,19360.0,큐브엔터,182360,KR,5.0,1,smic,2023-04-07,41900.0,2023-10-19,15370.0,58,-21.09,p_chandelier_ATR5.5
2023-08-07,17080.7776,넥슨게임즈,225570,KR,5.0,1,star,2023-06-24,32100.0,2023-10-17,14840.0,71,-13.64,p_chandelier_ATR5.5
2023-02-10,22200.0,엘앤씨바이오,290650,KR,5.0,1,ewha,2022-08-13,38250.0,2023-10-16,30600.0,248,37.01,p_chandelier_ATR5.5
2023-08-17,309000.0,효성티앤씨,298020,KR,5.0,3,smic|star,2021-05-29|2023-05-03,975000.0|536700.0,2023-10-11,300500.0,55,-3.33,p_chandelier_ATR5.5
2023-08-03,201000.0,메디톡스,086900,KR,5.0,1,star,2023-06-12,377000.0,2023-09-27,244000.0,55,20.67,p_chandelier_ATR5.5
2023-08-08,14442.8642,화신,010690,KR,5.0,3,star|voera,2023-03-15|2023-07-24,17620.0|42900.0,2023-09-12,11790.0,35,-18.86,p_chandelier_ATR5.5
2023-05-08,21.1,MP,MP,US,5.0,1,smic,2022-11-18,51.4,2023-08-21,20.6,105,-2.95,p_chandelier_ATR5.5
2022-09-29,121586.4475,하이브,352820,KR,5.0,6,smic|voera,2021-11-06|2022-05-28,628000.0|381500.0,2023-08-17,240500.0,322,96.62,p_chandelier_ATR5.5
2022-12-26,19800.0,대덕전자,353200,KR,5.0,2,star,2022-07-05,50300.0,2023-08-11,29500.0,228,48.1,p_chandelier_ATR5.5
2023-01-03,93400.0,에코프로비엠,247540,KR,5.0,1,ewha,2022-08-13,181600.0,2023-08-08,340000.0,217,261.84,p_chandelier_ATR5.5
2023-01-13,16050.0,명신산업,009900,KR,5.0,1,star,2022-08-16,26760.0,2023-08-04,19000.0,203,17.67,p_chandelier_ATR5.5
2023-05-10,63000.0,대보마그네틱,290670,KR,5.0,1,ewha,2022-11-25,107100.0,2023-07-27,48500.0,78,-23.48,p_chandelier_ATR5.5
2023-03-15,7110.0,코엔텍,029960,KR,5.0,2,ewha|star,2021-09-30|2022-09-15,11320.0,2023-07-25,7090.0,132,-0.88,p_chandelier_ATR5.5
2023-01-03,6200.0,씨티씨바이오,060590,KR,5.0,1,star,2022-08-03,19150.0,2023-07-14,9730.0,192,56.0,p_chandelier_ATR5.5
2022-12-13,4351.0,로젠,033290,KR,5.0,1,star,2022-07-20,8370.0,2023-05-18,3776.0,156,-13.74,p_chandelier_ATR5.5
2022-09-29,7080.0,국순당,043650,KR,5.0,1,smic,2022-04-09,13250.0,2023-05-10,6440.0,223,-9.58,p_chandelier_ATR5.5
2022-09-26,117500.0,삼성전기,009150,KR,5.0,3,ewha|star,2021-05-01|2022-04-09,267000.0,2023-05-08,138300.0,224,17.0,p_chandelier_ATR5.5
