source_file,school,report_date,filename_date,market,company,ticker,exchange,rating,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,parse_issue
data\markdown\star\2024-09-11_STAR_하이텍팜.md,star,2024-08-16,2024-09-11,KR,하이텍팜,106190,KOSDAQ,Buy,36730.0,"36,730",16980.0,"16,980",,
data\markdown\star\2024-09-11_STAR_한국공항.md,star,2024-08-16,2024-09-11,KR,한국공항,005430,KOSPI,Buy,94400.0,"94,400",56100.0,"56,100",,
data\markdown\star\2024-09-11_STAR_한올바이오파마.md,star,2023-08-14,2024-09-11,KR,한올바이오파마,009420,KOSPI,Buy,54250.0,"54,250",35000.0,"35,000",,
data\markdown\star\2025-01-09_STAR_Astera Labs.md,star,2024-03-21,2025-01-09,US,Astera Labs,ALAB,US,Buy,168.37,$168.37,114.68,$114.68,,
data\markdown\star\2025-01-09_STAR_HK이노엔.md,star,2023-09-25,2025-01-09,KR,HK이노엔,195940,KOSDAQ,Buy,63900.0,"63,900",48250.0,"48,250",,
data\markdown\star\2025-01-09_STAR_HL만도.md,star,2024-11-28,2025-01-09,KR,HL만도,204320,KOSPI,Buy,57500.0,"57,500",37450.0,"37,450",,
data\markdown\star\2025-01-09_STAR_KEYSS_SK바이오팜.md,star,2023-11-20,2025-01-09,KR,SK바이오팜,326030,KOSPI,Buy,161500.0,"161,500",97900.0,"97,900",65.0,
data\markdown\star\2025-01-09_STAR_SK바이오팜.md,star,2024-09-26,2025-01-09,KR,SK바이오팜,326030,KOSPI,Buy,151000.0,"151,000",106300.0,"106,300",,
data\markdown\star\2025-01-09_STAR_삼양식품.md,star,2024-11-14,2025-01-09,KR,삼양식품,003230,KOSPI,Buy,784000.0,"784,000",542000.0,"542,000",,
data\markdown\star\2025-01-09_STAR_성광벤드.md,star,2023-11-27,2025-01-09,KR,성광벤드,014620,KOSDAQ,Buy,35650.0,"35,650",20950.0,"20,950",,
data\markdown\star\2025-01-09_STAR_쎄트렉아이.md,star,2024-11-07,2025-01-09,KR,쎄트렉아이,099320,KOSDAQ,Buy,71400.0,"71,400",46200.0,"46,200",,
data\markdown\star\2025-01-09_STAR_엠아이텍.md,star,2023-11-06,2025-01-09,KR,엠아이텍,179290,KOSDAQ,Buy,14330.0,"14,330",8820.0,"8,820",,
data\markdown\star\2025-01-09_STAR_와이지엔터테인먼트.md,star,2024-12-05,2025-01-09,KR,와이지엔터테인먼트,122870,KOSDAQ,Buy,62900.0,"62,900원",47950.0,"47,950",,
data\markdown\star\2025-01-09_STAR_원자력 발전산업.md,star,2024-12-05,2025-01-09,,원자력 발전산업,,,Neutral,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price
data\markdown\star\2025-01-09_STAR_이수페타시스.md,star,2024-09-26,2025-01-09,KR,이수페타시스,007660,KOSPI,Buy,51600.0,"51,600",37400.0,"37,400",,
data\markdown\star\2025-01-09_STAR_파마리서치.md,star,2024-09-26,2025-01-09,KR,파마리서치,214450,KOSDAQ,Buy,250000.0,"250,000",194600.0,"194,600",,
data\markdown\star\2025-01-09_STAR_하나투어.md,star,2024-12-05,2025-01-09,KR,하나투어,039130,KOSPI,Buy,96700.0,"96,700",57100.0,"57,100",,
data\markdown\star\2025-01-09_STAR_하이브.md,star,2024-11-14,2025-01-09,KR,하이브,352820,KOSPI,Buy,310300.0,"310,300",198600.0,"198,600",,
data\markdown\star\2025-01-09_STAR_한국카본.md,star,2024-09-26,2025-01-09,KR,한국카본,017960,KOSPI,Buy,18100.0,"18,100",11320.0,"11,320",,
data\markdown\star\2025-01-09_STAR_휴젤.md,star,2024-09-26,2025-01-09,KR,휴젤,145020,KOSDAQ,Buy,317500.0,"317,500",244500.0,"244,500",,
data\markdown\star\2025-02-02_STAR_비만치료제 산업.md,star,2024-11-05,2025-02-02,,비만치료제 산업,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price
data\markdown\star\2025-03-10_STAR_JYP Ent_.md,star,2025-01-16,2025-03-10,KR,JYP Ent.,035900,KOSDAQ,Buy,114500.0,"114,500",76000.0,"76,000",,
data\markdown\star\2025-03-10_STAR_넥스트바이오메디컬.md,star,2025-02-20,2025-03-10,KR,넥스트바이오메디컬,389650,KOSDAQ,Buy,70400.0,"70,400",54000.0,"54,000",,
data\markdown\star\2025-03-10_STAR_더존비즈온.md,star,2025-02-20,2025-03-10,KR,더존비즈온,012510,KOSPI,Buy,102100.0,"102,100",77900.0,"77,900",,
data\markdown\star\2025-03-10_STAR_덕산네오룩스.md,star,2025-01-02,2025-03-10,KR,덕산네오룩스,213420,KOSDAQ,Buy,48200.0,"48,200",27750.0,"27,750",,
data\markdown\star\2025-03-10_STAR_삼성중공업.md,star,2025-02-06,2025-03-10,KR,삼성중공업,010140,KOSPI,Buy,19330.0,"19,330원",13400.0,"13,400",,
data\markdown\star\2025-03-10_STAR_스튜디오드래곤.md,star,2025-02-20,2025-03-10,KR,스튜디오드래곤,253450,KOSDAQ,Buy,65700.0,"65,700",41750.0,"41,750",,
data\markdown\star\2025-03-10_STAR_시프트업.md,star,2025-01-02,2025-03-10,KR,시프트업,462870,KOSPI,Buy,89100.0,"89,100",63400.0,"63,400",,
data\markdown\star\2025-03-10_STAR_신한알파리츠.md,star,2025-02-06,2025-03-10,KR,신한알파리츠,293940,KOSPI,Buy,7700.0,"7,700",5710.0,"5,710",,
data\markdown\star\2025-03-10_STAR_아모레퍼시픽.md,star,2025-02-20,2025-03-10,KR,아모레퍼시픽,090430,KOSPI,Buy,159700.0,"159,700",117900.0,"117,900",,
data\markdown\star\2025-03-10_STAR_에스티아이.md,star,2025-01-02,2025-03-10,KR,에스티아이,039440,KOSDAQ,Buy,22000.0,"22,000",17450.0,"17,450",,
data\markdown\star\2025-03-10_STAR_에이비엘바이오.md,star,2025-01-16,2025-03-10,KR,에이비엘바이오,298380,KOSDAQ,Buy,44100.0,"44,100",29700.0,"29,700",,
data\markdown\star\2025-03-10_STAR_지엔씨에너지.md,star,2025-02-20,2025-03-10,KR,지엔씨에너지,119850,KOSDAQ,Buy,32000.0,"32,000",17340.0,"17,340",,
data\markdown\star\2025-03-10_STAR_케이아이엔엑스.md,star,2025-02-20,2025-03-10,KR,케이아이엔엑스,093320,KOSDAQ,Buy,151400.0,"151,400",151400.0,"151,400원",,
data\markdown\star\2025-03-10_STAR_클래시스.md,star,2025-02-20,2025-03-10,KR,클래시스,214150,KOSDAQ,Buy,71100.0,"71,100",55800.0,"55,800",,
data\markdown\star\2025-03-10_STAR_티앤엘.md,star,2025-02-20,2025-03-10,KR,티앤엘,340570,KOSDAQ,Buy,114600.0,"114,600",76500.0,"76,500",,
data\markdown\star\2025-03-10_STAR_파크시스템스.md,star,2025-02-06,2025-03-10,KR,파크시스템스,140860,KOSDAQ,Buy,303000.0,"303,000",303000.0,"303,000원",,
data\markdown\star\2025-03-10_STAR_펌텍코리아.md,star,2025-01-16,2025-03-10,KR,펌텍코리아,251970,KOSDAQ,Buy,68500.0,"68,500",45000.0,"45,000",,
data\markdown\star\2025-06-18_STAR_SAMG엔터.md,star,2025-03-27,2025-06-18,KR,SAMG엔터,419530,KOSDAQ,Buy,40700.0,"40,700",29950.0,"29,950",,
data\markdown\star\2025-06-18_STAR_농심.md,star,2025-03-27,2025-06-18,KR,농심,004370,KOSPI,Buy,582000.0,"582,000",405000.0,"405,000",,
data\markdown\star\2025-06-19_KEYSS_STAR_글로벌텍스프리.md,star,2024-05-27,2025-06-19,KR,글로벌텍스프리,204620,KOSDAQ,Buy,9110.0,"9,110",9110.0,"9,110원",,
data\markdown\star\2025-06-19_STAR_25_매크로시황.md,star,2025-06-19,2025-06-19,,25_매크로시황,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price
data\markdown\star\2025-06-19_STAR_CentrusEnergy.md,star,2025-05-29,2025-06-19,US,CentrusEnergy,LEU,NYSE,Buy,255.98,$ 255.98,127.47,$ 127.47,,
data\markdown\star\2025-06-19_STAR_HD현대마린엔진.md,star,2025-05-08,2025-06-19,KR,HD현대마린엔진,071970,KOSPI,Buy,50800.0,"50,800",37600.0,"37,600",,
data\markdown\star\2025-06-19_STAR_HD현대미포.md,star,2025-05-08,2025-06-19,KR,HD현대미포,010620,KOSPI,Buy,219500.0,"219,500",172400.0,"172,400",,
data\markdown\star\2025-06-19_STAR_글로벌텍스프리.md,star,2025-03-27,2025-06-19,KR,글로벌텍스프리,204620,KOSDAQ,Buy,7080.0,"7,080",4995.0,"4,995",,
data\markdown\star\2025-06-19_STAR_비츠로셀.md,star,2025-05-15,2025-06-19,KR,비츠로셀,082920,KOSDAQ,Buy,37550.0,"37,550",26750.0,"26,750",,
data\markdown\star\2025-06-19_STAR_에스앤에스텍.md,star,2025-06-05,2025-06-19,KR,에스앤에스텍,101490,KOSDAQ,Buy,61300.0,"61,300",34450.0,"34,450",,
data\markdown\star\2025-06-19_STAR_우주항공 산업.md,star,2025-06-19,2025-06-19,,우주항공 산업,,,Buy,96600.0,"96,600원",,,,non_us_kr_or_unparsed_market;missing_ticker
data\markdown\star\2025-06-19_STAR_차이나 테크 산업.md,star,2022-12-31,2025-06-19,,차이나 테크 산업,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price
data\markdown\star\2025-06-19_STAR_한국금융지주.md,star,2025-05-29,2025-06-19,KR,한국금융지주,071050,KOSPI,Buy,136000.0,"136,000",99300.0,"99,300",,
data\markdown\star\2025-06-19_STAR_한국전력.md,star,2025-06-05,2025-06-19,KR,한국전력,015760,KOSPI,Buy,40900.0,"40,900",29650.0,"29,650",,
data\markdown\star\2025-06-19_STAR_현대로템.md,star,2025-03-27,2025-06-19,KR,현대로템,064350,KOSPI,Buy,157500.0,"157,500",106000.0,"106,000",,
data\markdown\star\2025-06-19_STAR_현대엘리베이터.md,star,2025-05-15,2025-06-19,KR,현대엘리베이터,017800,KOSPI,Buy,114000.0,"114,000",77200.0,"77,200",,
data\markdown\star\2025-08-31_STAR_SK오션플랜트.md,star,2025-08-07,2025-08-31,KR,SK오션플랜트,100090,KOSPI,Buy,32100.0,"32,100",21150.0,"21,150",,
data\markdown\star\2025-08-31_STAR_달바글로벌.md,star,2025-07-10,2025-08-31,KR,달바글로벌,483650,KOSPI,Buy,292500.0,"292,500",223500.0,"223,500",,
data\markdown\star\2025-08-31_STAR_대주전자재료.md,star,2025-08-22,2025-08-31,KR,대주전자재료,078600,KOSDAQ,Buy,116900.0,"116,900",71000.0,"71,000",,
data\markdown\star\2025-08-31_STAR_비에이치 (2).md,star,2025-08-22,2025-08-31,KR,비에이치,090460,KOSPI,Buy,21500.0,21.500,21500.0,"21,500원",,
data\markdown\star\2025-08-31_STAR_비에이치아이 (1).md,star,2025-07-24,2025-08-31,KR,비에이치아이,083650,KOSDAQ,Buy,61600.0,"61,600",35450.0,"35,450",,
data\markdown\star\2025-08-31_STAR_씨어스테크놀로지.md,star,2025-08-22,2025-08-31,KR,씨어스테크놀로지,458870,KOSDAQ,Buy,54600.0,"54,600원",38000.0,"38,000",,
data\markdown\star\2025-08-31_STAR_씨에스윈드.md,star,2025-08-22,2025-08-31,KR,씨에스윈드,112610,KOSPI,Buy,51700.0,"51,700",42550.0,"42,550",,
data\markdown\star\2025-08-31_STAR_애니플러스.md,star,2025-08-22,2025-08-31,KR,애니플러스,310200,KOSDAQ,Buy,9120.0,"9,120",5100.0,"5,100",,
data\markdown\star\2025-08-31_STAR_엔씨소프트.md,star,2025-08-07,2025-08-31,KR,엔씨소프트,036570,KOSPI,Buy,330500.0,"330,500",195900.0,"195,900",,
data\markdown\star\2025-08-31_STAR_엠씨넥스.md,star,2025-08-22,2025-08-31,KR,엠씨넥스,097520,KOSPI,Buy,43700.0,"43,700",29000.0,"29,000",,
