source_file,school,report_type,ocr_recovered,report_date,authored_date,filename_date,market,company,ticker,exchange,rating,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,parse_issue,qa_flags,data_issue
"data/markdown/smic/2018-11-21_Equity Research, 빅히트엔터테인먼트.md",smic,sector,False,2018-11-21,2018-11-03,2018-11-21,,,,,Hold,3.0,3,3.0,3,,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2019-08-11_Equity Research, Adobe systems.md",smic,company,False,2019-08-11,2019-06-01,2019-08-11,KR,세진중공업,075580,KRX,Buy,,,,,,missing_target_price,,
"data/markdown/smic/2019-12-24_Equity Research, Hoya.md",smic,sector,False,2019-12-24,2019-11-16,2019-12-24,,,,,Buy,12391.0,"12,391",9626.0,"9,626",28.7,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2019-12-24_Equity Research, Visa.md",smic,company,False,2019-12-24,2019-11-16,2019-12-24,KR,세진중공업,075580,KRX,Buy,,,,,,missing_target_price,,
"data/markdown/smic/2019-12-24_Equity Research, 효성화학.md",smic,sector,False,2019-12-24,2019-11-30,2019-12-24,,,,,Buy,230000.0,"230,000 원",141000.0,"141,000 원",63.12,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/yig/2025-11-10_SK가스 (018670, KS), 당신의 포트폴리오를 지켜줄 든든한 수비수 (발간일 240503) YIG Research.md",yig,company,False,2024-05-04,2024-05-04,2025-11-10,KR,SK가스,018670,KOSPI,Buy,,,,,,missing_target_price,,
"data/markdown/yig/2025-11-10_디스플레이, OLED라는 봄바람과 함께 YIG Research.md",yig,sector,False,,,2025-11-10,,,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_report_date,,
"data/markdown/yig/2025-11-10_솔브레인 (357789, KQ), 솔브레인 안 사면 노브레인 (발간일 240315) YIG Research.md",yig,company,True,2024-03-16,2024-03-16,2025-11-10,KR,솔브레인,357780,KOSDAQ,Buy,,,,,,missing_target_price,ocr_fallback,
"data/markdown/yig/2025-11-10_쏘카 (403550, KS), BTS, 봉준호, SONNY 말고 SOCAR LET'S GO (발간일 240531) YIG R.md",yig,company,False,2024-05-24,2024-05-24,2025-11-10,KR,쏘카,403550,KOSPI,Buy,,,,,,missing_target_price,,
"data/markdown/yig/2025-11-11_[2025-1 SOKHA 우승] 넥스트바이오메디컬 (389650, KQ), 의료기기의 Next Level (발간일 25051.md",yig,company,True,2025-05-15,2025-05-15,2025-11-11,KR,넥스트바이오메디컬,389650,KOSDAQ,Buy,,,63200.0,"₩63,200 ₩",,missing_target_price,ocr_fallback,
"data/markdown/yig/2025-11-11_스마일게이트, 인디와 함께 스마일 (발간일 250221) YIG Research.md",yig,sector,True,2025-02-21,2025-02-21,2025-11-11,,,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,ocr_fallback,
"data/markdown/yig/2025-11-11_지엔씨에너지 (119850, KQ), 비상발전기로 주가도 비상 (발간일 250801) YIG Research.md",yig,company,True,2025-08-01,2025-08-01,2025-11-11,KR,지엔씨에너지,119850,KOSDAQ,Buy,,,53600.0,"₩53,600 ₩",,missing_target_price,ocr_fallback,
"data/markdown/yig/2025-11-11_폐암 치료제, 항암의 최종 보스, 폐암 정복 (발간일 251031) YIG Research.md",yig,sector,False,2025-10-31,2025-10-31,2025-11-11,,,,,Overweight,69200.0,"₩69,200",41000.0,"₩41,000",68.8,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2022-04-07_STAR_배터리 재활용 산업.md,star,company,False,2022-04-07,2022-03-20,2022-04-07,KR,제이에스코퍼레이션,194370,KOSPI,Buy,,,,,,missing_target_price,,
data/markdown/star/2022-05-28_STAR_암호화폐투자전략.md,star,company,False,2022-05-28,2022-05-19,2022-05-28,KR,대덕전자,353200,KOSPI,Buy,,,,,,missing_target_price,,
data/markdown/star/2023-02-16_STAR_백광산업.md,star,sector,False,2023-02-16,2022-11-24,2023-02-16,,백광산업,,,Buy,6320.0,"6,320",4450.0,"4,450",42.02,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/star/2023-03-01_STAR_자율주행 자동차 산업, 살아남는 자가 강하다.md",star,sector,False,2023-03-01,2022-11-17,2023-03-01,,"자율주행 자동차 산업, 살아남는 자가 강하다",,,Buy,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
data/markdown/star/2023-06-12_STAR_신흥시장 투자 전략.md,star,sector,False,2023-06-12,,2023-06-12,,신흥시장 투자 전략,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2023-06-12_STAR_조선산업.md,star,sector,False,2023-06-12,2023-05-04,2023-06-12,,조선산업,,,Buy,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
data/markdown/star/2023-11-29_STAR_AI 산업.md,star,sector,False,2023-11-29,,2023-11-29,,AI 산업,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
